                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81878,                 11.655,                 3.9632,                0.95899,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.4398,                 5.2443,                 3.7276,                0.85555,                      0,                      0,                      0
                      2,                0.87641,                 12.966,                 3.9658,                 1.0174,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.44403,                 5.2444,                 3.7222,                0.85842,             1.2376e-05,             1.2376e-05,             1.2376e-05
                      3,                  0.759,                 11.137,                 3.8404,                 1.0075,                  0.001,                  0.125,                0.00077,                  8e-05,                      0,                      0,                      0,                      0,                0.44678,                 5.2447,                 3.7217,                0.86348,             2.4505e-05,             2.4505e-05,             2.4505e-05
                      4,                0.83313,                 11.661,                 3.8976,                0.98226,                0.00098,                  0.125,                0.00078,                  8e-05,                      0,                      0,                      0,                      0,                0.44648,                 5.2448,                 3.7286,                0.86719,             3.6386e-05,             3.6386e-05,             3.6386e-05
                      5,                0.81438,                 11.105,                 3.7934,                 1.0183,                0.00098,                  0.125,                0.00087,                  9e-05,                      0,                      0,                      0,                      0,                0.45784,                 5.2449,                 3.7329,                0.87733,              4.802e-05,              4.802e-05,              4.802e-05
                      6,                0.82355,                 11.855,                 4.0119,                0.98889,                0.00097,                  0.125,                0.00092,                  9e-05,                      0,                      0,                      0,                      0,                0.47625,                 5.2451,                 3.7341,                0.88819,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      7,                0.84611,                 11.961,                 3.8396,                 1.0168,                0.00098,                  0.125,                0.00102,                 0.0001,                      0,                      0,                      0,                      0,                0.42874,                 5.2454,                  3.729,                 0.8817,             7.0545e-05,             7.0545e-05,             7.0545e-05
                      8,                0.77956,                 9.3642,                 3.9057,                 1.0024,                0.00105,                  0.125,                0.00149,                0.00015,                      0,                      0,                      0,                      0,                0.39222,                 5.2456,                 3.7263,                0.87706,             8.1436e-05,             8.1436e-05,             8.1436e-05
                      9,                0.83189,                 8.0923,                 3.9686,                 1.0189,                0.00236,                0.15278,                0.00263,                0.00084,                0.00128,                0.02778,                0.00072,                0.00014,                0.40653,                 5.2455,                 3.7259,                0.88413,              9.208e-05,              9.208e-05,              9.208e-05
                     10,                0.76197,                 6.6933,                 3.7858,                 1.0278,                0.00346,                0.27778,                0.00537,                0.00135,                0.00123,                0.02778,                0.00102,                0.00031,                0.45519,                 5.2454,                 3.7393,                0.90545,             0.00010248,             0.00010248,             0.00010248
                     11,                0.59669,                 6.2572,                 3.7096,                0.98435,                0.00341,                0.27778,                0.00434,                0.00157,                0.00123,                0.02778,                0.00132,                 0.0004,                0.49652,                 5.2454,                 3.7435,                0.91523,             0.00011263,             0.00011263,             0.00011263
                     12,                0.68107,                 5.9653,                 3.7825,                 1.0042,                0.00317,                0.20278,                0.00671,                0.00219,                0.00121,                0.02778,                 0.0019,                0.00057,                0.51554,                 5.2458,                   3.74,                0.90797,             0.00012253,             0.00012253,             0.00012253
                     13,                0.70017,                 5.4005,                 3.7738,                 1.0309,                0.00539,                0.25833,                0.01942,                0.00576,                0.00338,                0.08333,                0.00514,                0.00165,                 0.5327,                 5.2462,                 3.7063,                0.89611,             0.00013218,             0.00013218,             0.00013218
                     14,                0.59885,                 4.8722,                 3.6299,                0.98826,                0.00597,                0.30833,                0.05149,                0.02418,                0.00389,                0.13333,                0.02456,                0.00728,                0.51221,                 5.2457,                 3.6811,                0.88209,             0.00014159,             0.00014159,             0.00014159
                     15,                0.57633,                 4.6629,                 3.5288,                0.91084,                0.01364,                0.69444,                0.18446,                0.10865,                0.00747,                0.31111,                0.09397,                0.03118,                0.52036,                 5.2437,                 3.5894,                0.87389,             0.00015075,             0.00015075,             0.00015075
                     16,                0.54301,                  4.348,                 3.2908,                0.88408,                0.01484,                0.72222,                   0.28,                0.17413,                0.00656,                0.28333,                 0.0995,                0.04442,                0.53257,                 5.2406,                 3.5097,                0.87208,             0.00015966,             0.00015966,             0.00015966
                     17,                0.47476,                  3.956,                 2.9783,                 0.8734,                0.01529,                0.72222,                0.32412,                0.20791,                0.00699,                0.26111,                0.07787,                0.03165,                0.56801,                 5.2355,                 3.4129,                0.87206,             0.00016832,             0.00016832,             0.00016832
