                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.72435,                 3.6183,                0.98976,                0.00365,                0.38413,                0.04437,                0.03243,                0.61484,                  3.666,                0.92675,                      0,                      0,                      0
                      2,                 1.0149,                 3.6961,                 1.1888,                0.00471,                 0.4873,                 0.0469,                0.03135,                0.62749,                 3.6219,                0.91623,             1.4149e-05,             1.4149e-05,             1.4149e-05
                      3,                0.88784,                 3.7117,                 1.1917,                0.00537,                0.53492,                0.06669,                0.04779,                0.61363,                 3.5678,                0.90042,             2.8014e-05,             2.8014e-05,             2.8014e-05
                      4,                0.72774,                 3.4352,                0.95573,                0.00537,                0.53492,                0.18169,                0.13101,                0.57329,                 3.5346,                0.88386,             4.1597e-05,             4.1597e-05,             4.1597e-05
                      5,                0.73297,                 3.3659,                0.99651,                0.00646,                0.65714,                0.30682,                0.25222,                0.58479,                 3.4555,                0.85647,             5.4896e-05,             5.4896e-05,             5.4896e-05
                      6,                0.73653,                 3.4066,                0.91686,                0.00775,                0.77143,                0.37129,                 0.3155,                0.57707,                 3.4068,                 0.8405,             6.7913e-05,             6.7913e-05,             6.7913e-05
                      7,                0.74321,                 3.2819,                 1.0832,                0.00771,                0.77143,                0.41345,                 0.3445,                0.56821,                 3.3481,                0.81998,             8.0647e-05,             8.0647e-05,             8.0647e-05
                      8,                 0.6899,                 3.1795,                 1.0034,                 0.0083,                 0.8381,                0.44516,                0.37453,                0.54245,                 3.2834,                0.80534,             9.3098e-05,             9.3098e-05,             9.3098e-05
                      9,                0.80811,                 3.0474,                 1.0788,                0.00889,                0.90476,                0.42757,                0.36709,                0.54047,                 3.2188,                0.79288,             0.00010527,             0.00010527,             0.00010527
                     10,                0.54768,                 2.7286,                0.86933,                0.01004,                      1,                 0.4937,                0.41595,                0.52883,                   3.14,                0.78013,             0.00011715,             0.00011715,             0.00011715
                     11,                  0.688,                 2.5701,                0.89686,                0.01006,                      1,                0.50446,                0.44451,                0.53966,                 3.0562,                0.76963,             0.00012875,             0.00012875,             0.00012875
                     12,                0.54602,                 2.3558,                0.89663,                0.01007,                      1,                 0.5052,                0.42961,                0.59809,                 2.9771,                0.77505,             0.00014007,             0.00014007,             0.00014007
                     13,                0.56807,                 2.2142,                0.88407,                0.01011,                      1,                0.53119,                0.45901,                0.58026,                 2.9266,                0.77187,             0.00015111,             0.00015111,             0.00015111
                     14,                 0.6192,                 2.1033,                0.92512,                0.01012,                      1,                0.56174,                0.48808,                0.57597,                 2.8347,                0.77256,             0.00016186,             0.00016186,             0.00016186
                     15,                0.80565,                 2.0256,                0.92161,                0.28144,                    0.6,                0.56357,                0.48871,                0.58409,                  2.715,                0.77754,             0.00017233,             0.00017233,             0.00017233
                     16,                0.86962,                 2.2342,                 1.0375,                0.51731,                0.27778,                0.56805,                0.48799,                 0.5713,                 2.6134,                0.77705,             0.00018252,             0.00018252,             0.00018252
                     17,                 0.7157,                 1.6646,                0.88993,                0.85571,                0.29226,                0.60824,                0.52695,                0.56033,                 2.5444,                0.78502,             0.00019242,             0.00019242,             0.00019242
