                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81905,                 12.149,                 3.7068,                0.94058,                0.00396,                0.18542,                0.00476,                0.00297,                      0,                      0,                      0,                      0,                0.51233,                 5.2451,                 3.9423,                0.80845,              1.111e-05,              1.111e-05,              1.111e-05
                      2,                0.88496,                 12.398,                 3.7728,                0.98022,                0.00468,                0.21667,                0.00628,                0.00426,                      0,                      0,                      0,                      0,                0.51179,                 5.2437,                 3.9378,                0.80914,                3.3e-05,                3.3e-05,                3.3e-05
                      3,                0.95269,                 11.602,                  3.828,                 1.0025,                0.00504,                0.21667,                0.00497,                0.00296,                      0,                      0,                      0,                      0,                0.51465,                 5.2392,                 3.9337,                0.81119,              5.445e-05,              5.445e-05,              5.445e-05
                      4,                0.89573,                 12.515,                 3.8446,                0.95578,                0.00544,                0.21667,                0.00556,                0.00372,                      0,                      0,                      0,                      0,                0.51474,                 5.2396,                 3.9353,                0.80925,              7.546e-05,              7.546e-05,              7.546e-05
                      5,                0.87145,                 11.146,                 3.9395,                0.96572,                0.01136,                0.45208,                0.05654,                0.03918,                      0,                      0,                      0,                      0,                0.36549,                 5.2372,                 3.9003,                0.79157,              9.603e-05,              9.603e-05,              9.603e-05
                      6,                0.78593,                 6.4358,                 3.7857,                0.98296,                0.01345,                0.62292,                0.16532,                0.12061,                      0,                      0,                      0,                      0,                0.40323,                 5.2388,                 3.8244,                 0.8002,             0.00011616,             0.00011616,             0.00011616
                      7,                0.82492,                 5.6533,                 3.7322,                0.96731,                0.01286,                0.64375,                0.17961,                0.13894,                      0,                      0,                      0,                      0,                0.56207,                 5.2486,                 3.7527,                0.80542,             0.00013585,             0.00013585,             0.00013585
                      8,                0.65449,                 4.8599,                  3.344,                0.91237,                0.01379,                  0.725,                0.26815,                0.23458,                      0,                      0,                      0,                      0,                0.50154,                 5.2649,                 3.6186,                0.79304,              0.0001551,              0.0001551,              0.0001551
                      9,                0.62644,                 4.5762,                 2.8862,                0.86396,                0.01394,                  0.725,                0.30363,                0.27397,                      0,                      0,                      0,                      0,                0.50775,                 5.2702,                 3.5659,                0.79089,             0.00017391,             0.00017391,             0.00017391
                     10,                0.59047,                 4.1959,                 2.5638,                0.86207,                0.01469,                  0.725,                0.31441,                0.27758,                      0,                      0,                      0,                      0,                0.53249,                 5.2712,                 3.5099,                0.79187,             0.00019228,             0.00019228,             0.00019228
